train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
-1.1920928955078125e-07,-0.002081069629639387,2399,6.605210955967777e-07,-2.8217859268188477,0.0007,28,2400,12000,0.991982638835907,426
9.840726852416992e-05,-0.0018132006516680121,2499,6.512223080790136e-07,-2.8177781105041504,0.0007,29,2500,12500,0.9903261065483093,424
0.0,-0.0017949927132576704,2599,6.608372018490627e-07,-2.8103275299072266,0.0007,30,2600,13000,0.9866667985916138,420
0.0,-0.0016032556304708123,2699,6.551262003995362e-07,-2.809429168701172,0.0007,31,2700,13500,0.9864950180053711,425
0.0,-0.001617653644643724,2799,6.229353175513097e-07,-2.814079523086548,0.0007,32,2800,14000,0.9887020587921143,428
0.0,-0.0017018252983689308,2899,5.758669203714817e-07,-2.8176751136779785,0.0007,33,2900,14500,0.9903146028518677,429
-2.7418136596679688e-05,-0.001965384930372238,2999,5.262441504783055e-07,-2.824251651763916,0.0007,34,3000,15000,0.9930682182312012,432
0.0,-0.002576547907665372,3099,4.851754056289792e-07,-2.819223403930664,0.0007,35,3100,15500,0.9896062016487122,432
0.0,-0.0020288818050175905,3199,4.563905235954735e-07,-2.810885429382324,0.0007,36,3200,16000,0.9862276911735535,434
0.0,-0.002288808347657323,3299,4.353535700829525e-07,-2.8078737258911133,0.0007,37,3300,16500,0.9843981266021729,436
0.0,-0.0014601307921111584,3399,4.213447368783818e-07,-2.8093018531799316,0.0007,38,3400,17000,0.986305832862854,438
1.1920928955078125e-07,-0.0015525494236499071,3499,4.092822223356052e-07,-2.805361270904541,0.0007,39,3500,17500,0.9844112396240234,440
0.0,-0.0019659281242638826,3599,3.995230031250685e-07,-2.8052353858947754,0.0007,43,3600,18000,0.9835795164108276,414
0.0,-0.0013919901102781296,3699,3.9105148630369513e-07,-2.819106340408325,0.0007,44,3700,18500,0.9913536906242371,416
-1.1920928955078125e-07,-0.0017747055971994996,3799,3.811572355516546e-07,-2.8265154361724854,0.0007,45,3800,19000,0.9944796562194824,419
0.0,-0.0018895398825407028,3899,3.7226863014439004e-07,-2.8124465942382812,0.0007,46,3900,19500,0.9873675107955933,422
0.0,-0.002340839710086584,3999,3.6456793850447866e-07,-2.824673652648926,0.0007,47,4000,20000,0.9926064014434814,424
0.0,-0.0011524558067321777,4099,3.591009658521216e-07,-2.826371192932129,0.0007,48,4100,20500,0.9958938360214233,426
-6.663799285888672e-05,-0.0014809793792665005,4199,3.5367233408578613e-07,-2.831765651702881,0.0007,48,4200,21000,0.9980148077011108,428
0.0,-0.0013472007121890783,4299,3.476844483429886e-07,-2.808230400085449,0.0007,49,4300,21500,0.9863381385803223,431
1.1920928955078125e-07,-0.0013623468112200499,4399,3.428329193866375e-07,-2.789763927459717,0.0007,50,4400,22000,0.9771887063980103,433
1.1920928955078125e-07,-0.0014294239226728678,4499,3.3897521234393935e-07,-2.7924423217773438,0.0007,51,4500,22500,0.9788240790367126,435
1.1920928955078125e-07,-0.001188596710562706,4599,3.36864843575313e-07,-2.8015358448028564,0.0007,52,4600,23000,0.9834914803504944,437
2.586841583251953e-05,-0.0013127692509442568,4699,3.339324905482499e-07,-2.781876564025879,0.0007,53,4700,23500,0.9735023975372314,438
1.7344951629638672e-05,-0.0014429421862587333,4799,3.2897304436119157e-07,-2.7909841537475586,0.0007,54,4800,24000,0.9778997898101807,439
0.0,-0.0013712163781747222,4899,3.2562996921114973e-07,-2.8033127784729004,0.0007,55,4900,24500,0.9841967821121216,441
6.967782974243164e-05,-0.001338738831691444,4999,3.2485820611327654e-07,-2.8021416664123535,0.0007,56,5000,25000,0.9839920401573181,443
-6.99758529663086e-05,-0.0014930430334061384,5099,3.225376019599935e-07,-2.7819178104400635,0.0007,57,5100,25500,0.9743231534957886,444
0.0,-0.0013677243841812015,5199,3.199166940248688e-07,-2.7955894470214844,0.0007,58,5200,26000,0.9814726114273071,445
0.0,-0.0021351133473217487,5299,3.163127928473841e-07,-2.7892274856567383,0.0007,59,5300,26500,0.9770326614379883,447
-1.1920928955078125e-07,-0.0016332175582647324,5399,3.1511393672190025e-07,-2.7939820289611816,0.0007,60,5400,27000,0.9805729389190674,449
5.960464477539063e-08,-0.0012639062479138374,5499,3.130414540919446e-07,-2.798607349395752,0.0007,60,5500,27500,0.9842188358306885,451
0.0,-0.0017785525415092707,5599,3.097681542385544e-07,-2.7853643894195557,0.0007,61,5600,28000,0.9771192073822021,452
0.0,-0.0016543015372008085,5699,3.0857574984111125e-07,-2.7909352779388428,0.0007,62,5700,28500,0.9802496433258057,454
0.0,-0.0012477346463128924,5799,3.0801982120465254e-07,-2.784721851348877,0.0007,63,5800,29000,0.9780220985412598,455
0.0,-0.0011314088478684425,5899,3.059789150938741e-07,-2.8135123252868652,0.0007,64,5900,29500,0.9930236339569092,456
0.0,-0.0015344551065936685,5999,3.073088805649604e-07,-2.812373638153076,0.0007,65,6000,30000,0.991409182548523,456
0.0,-0.0013916620519012213,6099,3.053453951906704e-07,-2.808199882507324,0.0007,66,6100,30500,0.9891308546066284,456
0.0,-0.0012889018980786204,6199,3.0442259912888403e-07,-2.8087642192840576,0.0007,67,6200,31000,0.9893479943275452,457
0.0,-0.001338229514658451,6299,3.0356028446476557e-07,-2.8208885192871094,0.0007,68,6300,31500,0.9957214593887329,457
-5.4717063903808594e-05,-0.0016836738213896751,6399,3.021582699602732e-07,-2.8100085258483887,0.0007,69,6400,32000,0.9896979928016663,458
