time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
34816,17,548,63,0.054736328125,0.0069064205,2.980232238769531e-07,-0.0011142796167405323,1.1929101943969727,0.0003,0.014794797636568546,0.2,-3.1758405305445194,160,3.807645842954402e-05
36864,18,550,66,0.03388671875,0.0030760323,8.761882781982422e-06,8.59505671542138e-06,1.2220308780670166,0.0003,-0.005798707250505686,0.2,-3.216880612075329,170,2.8970133025623195e-06
38912,19,553,70,0.06171875,0.008243105,-4.303455352783203e-05,-0.002036254187987652,1.2482703924179077,0.0003,-0.0035114698112010956,0.2,-3.2594274908304213,180,1.3426566440507755e-06
40960,20,556,73,0.014208984375,0.0026858682,5.0067901611328125e-06,-0.0002962854050565511,1.2688603401184082,0.0003,-0.011312959715723991,0.2,-3.3014184460043907,190,1.0675618982269983e-06
43008,21,560,76,0.01796875,0.0019240488,-6.282329559326172e-05,9.907705098157748e-05,1.2813464403152466,0.0003,-0.012927819974720478,0.2,-3.324428679794073,200,4.376404103820773e-07
45056,22,563,79,0.0962890625,0.012406765,-4.00543212890625e-05,-0.002653622614161577,1.3170855045318604,0.0003,-0.007345516234636307,0.2,-3.360354246199131,210,1.5891197575747946e-06
47104,23,566,83,0.10224609375,0.009776048,-2.944469451904297e-05,-0.0018459935832652262,1.3242517709732056,0.0003,-0.0033706314861774445,0.2,-3.394503773003817,220,3.6956414038183395e-06
49152,24,568,86,0.039404296875,0.007282567,4.291534423828125e-06,-0.0005520902865100652,1.3321903944015503,0.0003,-0.0023412699811160564,0.2,-3.407657730579376,230,4.425648528179655e-06
51200,25,570,89,0.1140625,0.006360711,6.753206253051758e-05,-0.0014919548004399986,1.3491806983947754,0.0003,-0.006601346656680107,0.2,-3.4244691394269466,240,6.02085871087316e-07
53248,26,570,93,0.0796875,0.009276049,-0.00011527538299560547,-0.0030854431446641684,1.339080810546875,0.0003,-0.012548667378723621,0.2,-3.4278887122869492,250,0.00011404586171493946
55296,27,573,96,0.049560546875,0.005024585,-0.0002377033233642578,-0.0006280781570239923,1.344557523727417,0.0003,0.003529878566041589,0.2,-3.4283998146653176,260,4.828734723586511e-08
57344,28,575,99,0.10732421875,0.008691627,4.297494888305664e-05,-0.0031834268593229353,1.34248685836792,0.0003,-0.011534353718161583,0.2,-3.4256733864545823,270,3.38545526932488e-08
59392,29,577,102,0.035791015625,0.0074016703,-6.759166717529297e-05,-0.0013686974765732885,1.3741822242736816,0.0003,0.0059340097941458225,0.2,-3.451917977631092,280,2.9581739010814023e-08
61440,30,577,106,0.085546875,0.011093443,0.00032383203506469727,-0.002885579351277556,1.3868157863616943,0.0003,-0.013921466656029224,0.2,-3.4823814406991005,290,3.484013890219373e-08
63488,31,579,109,0.0888671875,0.007701059,-8.106231689453125e-05,-0.004248592130898033,1.4361042976379395,0.0003,-0.00022615610214415938,0.2,-3.523060430586338,300,1.3786597029052552e-08
